"channel","pitch","tick_on","tick_off","dur_ticks","velocity","nota_nombre","clase_pitch","fuera_escala_mayor","fuera_escala_menor","duracion_muy_corta","velocidad_anomala","intervalo_disonante"
0,55,215280,215400,120,34,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,215280,215400,120,40,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,86,215280,215414,134,61,"D6",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,85,215400,215532,132,64,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,55,215521,215640,119,34,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,79,215760,215893,133,66,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,215881,216013,132,65,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,55,216000,216120,120,42,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,216120,216252,132,64,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,55,216240,216362,122,34,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,79,216240,216374,134,67,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,216362,216492,130,70,"F#5",6,FALSE,FALSE,FALSE,TRUE,TRUE
0,56,216480,216601,121,34,"G#3",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,216601,216733,132,67,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,56,216720,216840,120,34,"G#3",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,73,216961,217092,131,67,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,217080,217212,132,67,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,55,217202,217440,238,42,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,217202,217332,130,57,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,50,217681,217800,119,42,"D3",2,TRUE,FALSE,FALSE,FALSE,TRUE
